id,name,url,platform,catalog_type,government_level,country,country_name,owner_name,owner_type,api_endpoint,dataset_count,status
aces.data.socrata.com,,https://aces.data.socrata.com,socrata,Open data portal,,,,,,https://aces.data.socrata.com/api,0,active
administraciodigital.gencat.cat,Portal Datos Abiertos - Generalitat de Catalunya,https://administraciodigital.gencat.cat,socrata,Open data portal,state,ES,Spain,Portal Datos Abiertos - Generalitat de Catalunya,Regional government,https://administraciodigital.gencat.cat/api,0,active
agtransport.usda.gov,Agricultural Transportation Open Data Platform,https://agtransport.usda.gov,socrata,Open data portal,federal,US,United States,USDA,Central government,https://agtransport.usda.gov/api,0,active
al-amcc.data.socrata.com,,https://al-amcc.data.socrata.com,socrata,Open data portal,,,,,,https://al-amcc.data.socrata.com/api,1,active
albany.data.socrata.com,,https://albany.data.socrata.com,socrata,Open data portal,,,,,,https://albany.data.socrata.com/api,5,active
albanycountyny.data.socrata.com,,https://albanycountyny.data.socrata.com,socrata,Open data portal,,,,,,https://albanycountyny.data.socrata.com/api,0,active
albemarlecounty.data.socrata.com,,https://albemarlecounty.data.socrata.com,socrata,Open data portal,,,,,,https://albemarlecounty.data.socrata.com/api,0,active
albemarlecountyva-uvaecc.data.socrata.com,,https://albemarlecountyva-uvaecc.data.socrata.com,socrata,Open data portal,,,,,,https://albemarlecountyva-uvaecc.data.socrata.com/api,0,active
alexandercountync.data.socrata.com,,https://alexandercountync.data.socrata.com,socrata,Open data portal,,,,,,https://alexandercountync.data.socrata.com/api,0,active
alpharetta.data.socrata.com,,https://alpharetta.data.socrata.com,socrata,Open data portal,,,,,,https://alpharetta.data.socrata.com/api,5,active
analisi.transparenciacatalunya.cat,Dades Obertes - Transparència Catalunya,https://analisi.transparenciacatalunya.cat,socrata,Open data portal,state,ES,Spain,Generalitat de Catalunya,Regional government,https://analisi.transparenciacatalunya.cat/api,1058,active
andoverma.data.socrata.com,,https://andoverma.data.socrata.com,socrata,Open data portal,,,,,,https://andoverma.data.socrata.com/api,0,active
annapolismd.data.socrata.com,,https://annapolismd.data.socrata.com,socrata,Open data portal,,,,,,https://annapolismd.data.socrata.com/api,0,active
anokamn.data.socrata.com,,https://anokamn.data.socrata.com,socrata,Open data portal,,,,,,https://anokamn.data.socrata.com/api,2,active
applevalley-ca.data.socrata.com,,https://applevalley-ca.data.socrata.com,socrata,Open data portal,,,,,,https://applevalley-ca.data.socrata.com/api,0,active
